	A
0	3.6379661489340594e-06
1	3.883996151463316e-06
2	4.144701951673457e-06
3	4.420803543528268e-06
4	4.713086216116985e-06
5	5.022355672919563e-06
6	5.349430521420224e-06
7	5.695184257967915e-06
8	6.060528989265585e-06
9	6.446359920726748e-06
10	6.853677588956715e-06
11	7.283472506768366e-06
12	7.73676730569979e-06
13	8.214655318831676e-06
14	8.718245479351612e-06
15	9.248660507250445e-06
16	9.807127641563949e-06
17	1.0394839577373311e-05
18	1.1013059026185764e-05
19	1.1663132949232911e-05
20	1.2346361956458473e-05
21	1.3064165405335052e-05
22	1.381798309605314e-05
23	1.460925955008625e-05
24	1.543953235314697e-05
25	1.6310393066217996e-05
26	1.722337636343172e-05
27	1.818020805836423e-05
28	1.918256556120802e-05
29	2.023216800538144e-05
30	2.133084838295219e-05
31	2.248044325808392e-05
32	2.368279007162038e-05
33	2.4939902719456457e-05
34	2.6253698072691124e-05
35	2.7626202262157993e-05
36	2.9059570358889334e-05
37	3.0555840397360116e-05
38	3.211724481341456e-05
39	3.3746021965265644e-05
40	3.544438780959732e-05
41	3.7214700753399196e-05
42	3.9059381398848064e-05
43	4.0980717669797915e-05
44	4.298131078547566e-05
45	4.5063636393881845e-05
46	4.723021531095772e-05
47	4.948373345151658e-05
48	5.182684713227031e-05
49	5.426218044917343e-05
50	5.679262817729516e-05
51	5.942087867802188e-05
52	6.214977631057996e-05
53	6.498234339267779e-05
54	6.79213682834154e-05
55	7.096992984432418e-05
56	7.4131076457248e-05
57	7.740778117220491e-05
58	8.080321730355645e-05
59	8.432061405906384e-05
60	8.796295107270557e-05
61	9.173367696477995e-05
62	9.563599082576608e-05
63	9.967313157856103e-05
64	0.00010384855696137565
65	0.00010816563628398568
66	0.00011262765000833737
67	0.0001172382603115768
68	0.0001220007639100151
69	0.00012691866483402145
70	0.00013199569173235224
71	0.00013723517742356936
72	0.00014264085531799287
73	0.0001482163679862503
74	0.00015396520374278677
75	0.00015989111317926683
76	0.0001659978776792036
77	0.00017228887777708308
78	0.0001787681405985891
79	0.00018543927736245676
80	0.00019230592609467548
81	0.00019937199331974539
82	0.00020664121588852096
83	0.0002141171658412328
84	0.00022180391443431827
85	0.00022970497123488213
86	0.00023782410566261346
87	0.0002461653495723391
88	0.00025473214863680054
89	0.00026352846230409357
90	0.00027255808071623605
91	0.00028182454370398886
92	0.00029133171438912986
93	0.00030108344415242816
94	0.00031108301797583916
95	0.00032133454690633624
96	0.0003318415365841507
97	0.0003426075035713727
98	0.0003536362725804496
99	0.0003649314067798695
100	0.00037649622119060303
101	0.00038833463991913775
102	0.0004004498195650524
103	0.00041284522642179723
104	0.00042552461338773556
105	0.00043849095802887654
106	0.00045174785387327277
107	0.0004652986417234805
108	0.0004791463153949811
109	0.0004932942459829658
