T	P_model	P_retr
0.0	0.0	-387.26981870342246
3e-09	0.0	-387.26981870334123
6e-09	0.0	-387.2698187017391
9e-09	0.0	-387.26981867093315
1.2e-08	0.0	-387.269818164297
1.5e-08	0.0	-387.26981099479895
1.8e-08	0.0	-387.2697236950737
2.1e-08	0.0	-387.26880898762903
2.4e-08	0.0	-387.2605616573669
2.7e-08	0.0	-387.1965702523666
3e-08	0.0	-386.7692822259771
3.3e-08	0.0	-384.3138822388548
3.6e-08	0.0	-372.1706293521666
3.9e-08	0.0	-320.48568147435947
4.2e-08	0.0	-131.16019875123862
4.5e-08	18.094338779609167	465.68566284503214
4.8e-08	282.0961881209955	2084.900916591142
5.1e-08	4231.26950555581	5864.978183601815
5.4e-08	11193.699226761255	13457.538991297948
5.7e-08	24316.321213884577	26575.339161180484
6e-08	41645.65799437754	46061.89752617247
6.3e-08	81704.03226490114	70932.3512222173
6.6e-08	88683.3050160576	98165.45466463683
6.9e-08	136367.45645522902	123678.71215599203
7.2e-08	135490.6233617343	144006.43052932603
7.5e-08	168340.99532855008	157584.37559456937
7.8e-08	154485.1668211876	164886.7169345519
8.1e-08	137321.32156605116	167593.02800695604
8.4e-08	177178.964768984	167552.15867819314
8.7e-08	200000.0	166152.46094331602
9e-08	177432.40744692352	164198.38824491028
9.3e-08	166924.6882248665	162066.0565496654
9.6e-08	146367.36463410433	159900.38118293096
9.9e-08	163851.82824082617	157747.81168326363
1.02e-07	150169.92778935476	155620.6675750521
1.05e-07	148415.07491845632	153521.47862649753
1.08e-07	141697.3789244394	151450.42917781524
1.11e-07	153355.72960086307	149407.2337246673
1.14e-07	132449.12220424382	147391.53066027787
1.17e-07	157216.31067841794	145402.9516351771
1.2e-07	164028.8645095026	143441.13182185657
1.23e-07	143177.4596228743	141505.71115087424
1.26e-07	138012.85011714872	139596.3343844334
1.29e-07	134010.10186944535	137712.65106393126
1.32e-07	129138.86523025659	135854.31544662698
1.35e-07	142677.69398002187	134020.9864422481
1.38e-07	130349.11837927168	132212.3275503885
1.41e-07	120280.46257023184	130428.00679874509
1.44e-07	137520.81955087013	128667.69668218598
1.47e-07	106725.80041831032	126931.0741026377
1.5e-07	118035.98468472162	125217.82030978215
1.53e-07	119904.94930503324	123527.62084255111
1.56e-07	119203.12202181132	121860.16547140811
1.59e-07	109306.55457043521	120215.148141407
1.62e-07	115580.67974061362	118592.26691601684
1.65e-07	139006.22756089535	116991.2239217026
1.68e-07	102217.58221648447	115411.72529325154
1.71e-07	114708.1178660593	113853.48111983544
1.74e-07	113650.32043356387	112316.20539179863
1.77e-07	99675.22641186652	110799.6159481621
1.8e-07	110114.81207966214	109303.43442483374
1.83e-07	109909.10579595002	107827.38620351582
1.86e-07	100319.4351266202	106371.20036129998
1.89e-07	102887.69168787816	104934.60962094014
1.92e-07	102211.67001670245	103517.35030179504
1.9499999999999999e-07	101455.0749343388	102119.16227143047
1.98e-07	115303.3288234835	100739.78889787315
2.0099999999999999e-07	97596.17372233167	99378.97700250686
2.04e-07	93920.83194526778	98036.47681360242
2.07e-07	101072.39964968806	96712.04192047319
2.1e-07	104778.33618764648	95405.42922824729
2.13e-07	97586.51292058274	94116.39891324844
2.16e-07	86797.30629431679	92844.71437897733
2.19e-07	89351.85143040527	91590.14221268518
2.22e-07	83566.20377522642	90352.45214253182
2.25e-07	98280.39415986835	89131.41699532013
2.28e-07	94207.62445413014	87926.81265479929
2.31e-07	83903.44219241205	86738.41802052912
2.34e-07	77808.73235382384	85566.01496729796
2.37e-07	96607.59205190386	84409.38830508669
2.4e-07	82972.04012080394	83268.32573957129
2.43e-07	87477.3404689541	82142.61783315717
2.46e-07	82556.20982848242	81032.05796653773
2.49e-07	88791.50196767588	79936.4423007701
2.52e-07	78325.13815696804	78855.56973986133
2.55e-07	71169.48033550639	77789.241893858
2.58e-07	81728.68425847846	76737.26304243256
2.61e-07	90872.77938282599	75699.44009895955
2.64e-07	73977.30954508069	74675.58257507543
2.67e-07	74778.75301523268	73665.50254571493
2.7e-07	74175.83787586051	72669.01461461843
2.73e-07	66497.1920499242	71685.93588030305
2.76e-07	65362.12785755847	70716.08590249179
2.79e-07	72133.04061063574	69759.2866689944
2.82e-07	64927.34837674486	68815.36256303404
2.85e-07	68854.32281063074	67884.14033101345
2.88e-07	68777.52762225992	66965.44905071481
2.91e-07	69294.72657596033	66059.12009992784
2.94e-07	60042.88914150282	65164.9871254997
2.9699999999999997e-07	62912.179284871425	64282.88601280159
3e-07	61988.65126145469	63412.65485560606
3.03e-07	61651.33957562985	62554.13392636992
3.06e-07	57228.13686182118	61707.16564691663
3.09e-07	58305.74866796767	60871.594559513695
