T	P_model	P_retr
0.0	0.0	-182.58478284388224
3e-09	0.0	-110.6392397606134
6e-09	0.0	-28.087284550717186
9e-09	0.0	66.41564042524612
1.2e-08	0.0	174.3493776297123
1.5e-08	0.0	297.3374227379171
1.8e-08	0.0	437.1550495089492
2.1e-08	0.0	595.7370542564314
2.4e-08	0.0	775.1849692721117
2.7e-08	14.347654718604034	977.7735814684883
3e-08	53.296981327824575	1205.9565804466179
3.3e-08	73.3336803770643	1462.371149539662
3.6e-08	152.09870129969784	1749.841304532094
3.9e-08	376.1296701939724	2071.3797781136145
4.2e-08	649.8858141300318	2430.1882441177
4.5e-08	1018.2772024751173	2829.6556746184274
4.8e-08	1803.7580143166542	3273.3546254177336
5.1e-08	2643.4733479940396	3765.03525170846
5.4e-08	3542.065129396455	4308.6168660783505
5.7e-08	4738.96179444105	4908.176865797188
6e-08	4658.314757982908	5567.9368757186485
6.3e-08	7092.680334713794	6292.245977257291
6.6e-08	6699.784613705093	7085.560922819519
6.9e-08	8082.576946285598	7952.4232687143285
7.2e-08	11115.83823994889	8897.433397785904
7.5e-08	10963.924352494003	9925.221445511337
7.8e-08	13136.632139762236	11040.415189695788
8.1e-08	16911.708282814754	12247.605013647759
8.4e-08	17361.750621170348	13551.306105184905
8.7e-08	18073.314661661763	14955.918108242015
9e-08	19882.961820194996	16465.68249935275
9.3e-08	21669.73396074179	18084.638016885478
9.6e-08	25153.979100518038	19816.574525571155
9.9e-08	30593.531664117214	21664.98575144912
1.02e-07	27117.854023863987	23633.021371704068
1.05e-07	26331.251407440348	25723.438988792615
1.08e-07	31271.107743114102	27938.55655757678
1.11e-07	36558.30884619487	30280.205866752487
1.14e-07	32393.87723916183	32749.687700603437
1.17e-07	39235.28410194314	35347.72932304067
1.2e-07	40764.23364744983	38074.44493214453
1.23e-07	43534.23974103013	40929.29972930196
1.26e-07	45969.75269720091	43911.07823199944
1.29e-07	52703.67740924914	47017.85743306317
1.32e-07	47828.29953090533	50246.98537152357
1.35e-07	53708.387890206766	53595.06563145424
1.38e-07	58061.9751625845	57057.94822545986
1.41e-07	58539.03788018968	60630.7272495892
1.44e-07	59814.69600950062	64307.74561718148
1.47e-07	64517.41881270514	68082.60709162026
1.5e-07	64044.76090860639	71948.1957434776
1.53e-07	65011.089414925125	75896.70285759364
1.56e-07	63997.65214008357	79919.66121193115
1.59e-07	75821.3247258951	84007.98654438349
1.62e-07	71848.9497927779	88152.02591800607
1.65e-07	82887.39910752722	92341.61259135074
1.68e-07	86900.1853249675	96566.12690068566
1.71e-07	92978.40442248597	100814.56256682081
1.74e-07	92853.07199613894	105075.59775289297
1.77e-07	100702.789232442	109337.67012252979
1.8e-07	112454.68798950854	113589.05508188208
1.83e-07	123053.0764752904	117817.9463354486
1.86e-07	123803.67329972352	122012.5378455426
1.89e-07	135928.17179295942	126161.10625952373
1.92e-07	139597.44707689152	130252.09285810162
1.9499999999999999e-07	140995.69036464198	134274.18408237738
1.98e-07	147652.62114096727	138216.38971676675
2.0099999999999999e-07	150541.9573930756	142068.11783918767
2.04e-07	155827.8662283846	145819.24569822568
2.07e-07	158795.0816406054	149460.1857384604
2.1e-07	155914.7274640739	152981.9460685308
2.13e-07	167257.3823658573	156376.18475038474
2.16e-07	172443.33300094985	159635.2573808487
2.19e-07	181869.97762862267	162752.2575363622
2.22e-07	156644.74279593935	165721.04975652238
2.25e-07	176709.27956836275	168536.29484998446
2.28e-07	181984.5397683301	171193.4674152478
2.31e-07	164438.15106963005	173688.86557692857
2.34e-07	186065.8049821027	176019.61304335395
2.37e-07	178381.54880566802	178183.65369188707
2.4e-07	175013.87403326342	180179.73898263773
2.43e-07	189260.096198791	182007.4085876381
2.46e-07	178236.3503274224	183666.96469987935
2.49e-07	186671.47411263912	185159.44055376248
2.52e-07	175450.41504031964	186486.5637446985
2.55e-07	185509.8752595036	187650.71498025043
2.58e-07	185115.94737751444	188654.88292802847
2.61e-07	188187.77467748788	189502.61584649194
2.64e-07	184330.1681835104	190197.9706940559
2.67e-07	191126.10111792304	190745.46040986732
2.7e-07	187569.43822786436	191150.00004691977
2.73e-07	177795.3141015955	191416.8524156254
2.76e-07	189942.23122699652	191551.57386449407
2.79e-07	175341.13859380962	191559.96078527704
2.82e-07	180196.6826912047	191447.99738396553
2.85e-07	187359.00949789342	191221.80520763464
2.88e-07	192199.0352138166	190887.5948615378
2.91e-07	187517.95133075837	190451.62029235152
2.94e-07	182097.90490800238	189920.1359532694
2.9699999999999997e-07	196395.88632517782	189299.35710592978
3e-07	183356.18821237405	188595.42345403094
3.03e-07	168091.22647875242	187814.36624495612
3.06e-07	200000.0	186962.0789196921
3.09e-07	185578.0942671531	186044.2913385664
3.12e-07	170283.86627841782	185066.54756149414
