T	P_model	P_retr
0.0	0.0	-159.19282908605985
3e-09	0.0	-159.19282908605985
6e-09	0.0	-159.19282908605985
9e-09	0.0	-159.19282908605985
1.2e-08	0.0	-159.19282908605985
1.5e-08	0.0	-159.19282908605985
1.8e-08	0.0	-159.19282908605985
2.1e-08	0.0	-159.19282908605985
2.4e-08	0.0	-159.19282908605985
2.7e-08	0.0	-159.19282908605985
3e-08	0.0	-159.19282908605985
3.3e-08	0.0	-159.19282908605985
3.6e-08	0.0	-159.19282908605985
3.9e-08	0.0	-159.19282908605985
4.2e-08	0.0	-159.19282908605985
4.5e-08	0.0	-159.19282908605985
4.8e-08	0.0	-159.19282908605985
5.1e-08	0.0	-159.19282908605985
5.4e-08	0.0	-159.19282908605985
5.7e-08	0.0	-159.19282908605985
6e-08	0.0	-159.19282908605985
6.3e-08	0.0	-159.19282908605985
6.6e-08	0.0	-159.19282908597464
6.9e-08	0.0	-159.19282908378761
7.2e-08	0.0	-159.19282903773163
7.5e-08	0.0	-159.1928282116279
7.8e-08	0.0	-159.19281561078952
8.1e-08	0.0	-159.19265216162637
8.4e-08	0.0	-159.19084912471357
8.7e-08	0.0	-159.17393349170595
9e-08	0.0	-159.038957838608
9.3e-08	0.0	-158.12289196858035
9.6e-08	0.0	-152.8345343881432
9.9e-08	0.0	-126.86559901153363
1.02e-07	0.0	-18.38805111588826
1.05e-07	0.0	367.0785016935064
1.08e-07	0.0	1532.2697064476474
1.11e-07	564.3206010207213	4528.42831334264
1.14e-07	8059.949009394597	11081.864065736041
1.17e-07	21387.38212337291	23273.64117563969
1.2e-07	42005.05936332171	42561.20105193545
1.23e-07	64668.555834941	68499.89671320903
1.26e-07	102923.26130374751	98133.89665839697
1.29e-07	134160.85087517163	126856.54574400724
1.32e-07	154075.86535297788	150407.39583742942
1.35e-07	155975.3247480879	166633.1790604131
1.38e-07	166440.85320810933	175858.97519663136
1.41e-07	186489.76474078474	179942.95739126863
1.44e-07	169811.67140040747	180992.06762616403
1.47e-07	144746.126498863	180573.39152649694
