t0;p0;p1
0.0;1387.9;1531.4022766889461
3e-09;1387.9;1531.4022766889461
6e-09;1387.9;1531.4022766889461
9e-09;1387.9;1531.4022766889461
1.2e-08;1387.9;1531.4022766889461
1.5e-08;1387.9;1531.4022766889461
1.8e-08;1387.9;1531.4022766889461
2.1e-08;1387.9;1531.4022766889461
2.4e-08;1387.9;1531.4022766889461
2.7e-08;1318.505;1531.4022766889461
3e-08;1387.9;1531.4022766889461
3.3e-08;1387.9;1531.4022766889461
3.6e-08;1318.505;1531.4022766889461
3.9e-08;1387.9;1531.4022766889461
4.2e-08;1387.9;1531.4022766889461
4.5e-08;1387.9;1531.4022766889461
4.8e-08;1387.9;1531.4022766889461
5.1e-08;1318.505;1531.4022766889461
5.4e-08;1387.9;1531.4022766889461
5.7e-08;1387.9;1531.4022766889461
6e-08;1387.9;1531.4022766891378
6.3e-08;1457.295;1531.402276704921
6.6e-08;1387.9;1531.402277679366
6.9e-08;1457.295;1531.402321308468
7.2e-08;1387.9;1531.4037393854958
7.5e-08;1526.6900000000003;1531.4372131550513
7.8e-08;1804.2700000000002;1532.011297537605
8.1e-08;2151.2450000000003;1539.1677881397602
8.4e-08;2567.6150000000002;1604.040404129652
8.7e-08;2983.985;2031.8329605676029
9e-08;4927.045;4084.7424224607503
9.3e-08;11727.755;11255.957537002732
9.6e-08;29631.665000000005;29493.62414891498
9.9e-08;63635.215000000004;63258.8455436526
1.02e-07;106451.93000000001;108743.72025017912
1.05e-07;155375.40500000003;153253.7017229081
1.08e-07;184798.885;184740.49529085393
1.11e-07;200482.155;200574.97216140354
1.14e-07;207213.47000000003;205824.7402937486
1.17e-07;195416.32000000004;206379.9666168851
1.2e-07;199233.04500000004;205503.35514126465
1.23e-07;203743.72000000003;204323.6596661703
1.26e-07;208046.21000000002;203103.63545582446
1.29e-07;201592.475;201885.7441932409
1.32e-07;201731.265;200674.79708341745
1.35e-07;198122.725;199471.14516601796
1.38e-07;186394.97000000003;198274.76730833433
1.41e-07;193334.47000000003;197085.62051030487
1.44e-07;201314.89500000002;195903.6610955934
1.47e-07;200482.155;194728.84562320463
1.5e-07;197081.80000000002;193561.1309140756
1.53e-07;196249.06000000003;192400.47405011414
1.56e-07;186950.13;191246.8323726315
1.59e-07;194861.16000000003;190100.16348077444
1.62e-07;192085.36000000002;188960.42522996687
1.65e-07;202841.58500000002;187827.57573036104
1.68e-07;186047.99500000002;186701.57334529777
1.71e-07;184174.33;185582.37668977617
1.74e-07;191530.2;184469.94462893246
1.77e-07;174806.005;183364.2362765285
1.8e-07;181953.69;182265.21099344856
1.83e-07;189448.35;181172.82838620598
1.86e-07;173279.315;180087.0483054584
1.89e-07;185701.02000000002;179007.83084453235
1.92e-07;177304.225;177935.13633795624
1.9499999999999999e-07;171544.44;176868.9253600026
1.98e-07;174181.45;175809.15872323915
2.0099999999999999e-07;174320.24;174755.79747708832
2.04e-07;169046.22;173708.80290639578
2.07e-07;168074.69;172668.13653000744
2.1e-07;167866.505;171633.7600993552
2.13e-07;171405.65000000002;170605.63559705115
2.16e-07;174597.82;169583.72523549013
2.19e-07;176887.855;168567.99145546113
2.22e-07;170711.7;167558.39692476668
2.25e-07;167450.135;166554.90453685078
2.28e-07;162661.88;165557.47740943506
2.31e-07;167241.95;164566.07888316328
2.34e-07;165923.445;163580.67252025392
2.37e-07;167450.135;162601.222103161
2.4e-07;160302.45;161627.69163324276
2.43e-07;152113.84;160660.04532943884
2.46e-07;152669.0;159698.24762695495
2.49e-07;160510.635;158742.2631759559
2.52e-07;157734.83500000002;157792.05684026622
2.55e-07;161065.795;156847.59369607878
2.58e-07;147325.58500000002;155908.8390306714
2.61e-07;158636.97;154975.75834113074
2.64e-07;156346.93500000003;154048.31733308436
2.67e-07;153432.345;153126.48191944018
2.7e-07;155722.38;152210.2182191337
2.73e-07;148991.065;151299.49255588278
2.76e-07;151628.075;150394.2714569498
2.79e-07;142120.96000000002;149494.5216519114
2.82e-07;152252.63;148600.21007143587
2.85e-07;148366.51;147711.30384606734
2.88e-07;144410.995;146827.77030501817
2.91e-07;146215.265;145949.57697496776
2.94e-07;144133.415;145076.69157886924
2.9699999999999997e-07;145868.29;144209.08203476312
3e-07;144272.20500000002;143346.71645459818
3.03e-07;143023.095;142489.56314305935
3.06e-07;140663.665;141637.59059640294
3.09e-07;137055.125;140790.76750129866
