T	P_model	P_retr
0.0	0.0	302.41340936107144
3e-09	0.0	302.4134177837523
6e-09	0.0	302.41343779522316
9e-09	0.0	302.4134844934911
1.2e-08	0.0	302.4135915315999
1.5e-08	0.0	302.41383250905113
1.8e-08	0.0	302.4143653745614
2.1e-08	0.0	302.41552271228096
2.4e-08	0.0	302.41799160310643
2.7e-08	0.0	302.42316459072913
3e-08	0.0	302.4338103533106
3.3e-08	0.0	302.4553285505627
3.6e-08	0.0	302.49804808386864
3.9e-08	0.0	302.58134638958234
4.2e-08	0.0	302.7408726554726
4.5e-08	0.0	303.0409351056142
4.8e-08	0.0	303.5952688124871
5.1e-08	0.0	304.6010593558117
5.4e-08	0.0	306.39338330854423
5.7e-08	0.0	309.53023389341115
6e-08	0.0	314.9220455962388
6.3e-08	0.0	324.023982693187
6.6e-08	0.0	339.1138436476583
6.9e-08	0.0	363.68255184010485
7.2e-08	0.0	402.96673046372695
7.5e-08	0.0	464.65221709824164
7.8e-08	0.0	559.7715790976667
8.1e-08	0.0	703.8055473598838
8.4e-08	0.0	917.9757454295119
8.7e-08	0.0	1230.6828053526451
9e-08	0.0	1678.9999852622482
9.3e-08	0.0	2310.079945971019
9.6e-08	0.0	3182.2764065730557
9.9e-08	4887.45704507616	4365.731069470885
1.02e-07	19467.26373831916	5942.1403634491635
1.05e-07	15187.905056640408	8003.40879600472
1.08e-07	23859.19849661399	10648.92841373228
1.11e-07	31942.66213160721	13981.306546633925
1.14e-07	18602.068888576363	18100.500273492384
1.17e-07	22576.1290503207	23096.50085764843
1.2e-07	50222.13328617838	29040.929337001973
1.23e-07	43620.12486305656	35978.129688785564
1.26e-07	56661.63109198277	43916.54458737403
1.29e-07	50393.68699756309	52821.29328755037
1.32e-07	89577.8870206279	62608.907123031866
1.35e-07	53200.0159430276	73145.0912670303
1.38e-07	33725.50238369737	84246.16428571442
1.41e-07	62097.80203088451	95684.49313349847
1.44e-07	80802.90524956709	107197.82562065581
1.47e-07	100265.17572482597	118501.97780843313
1.5e-07	169335.88463464938	129305.92298809299
1.53e-07	174199.82124381198	139328.01402619047
1.56e-07	168452.1957554212	148311.90223420635
1.59e-07	154761.48780381173	156040.7224776861
1.62e-07	154192.67315732368	162348.2977250137
1.65e-07	200000.0	167126.45053612598
1.68e-07	143603.25753813935	170327.94477932496
1.71e-07	181578.97291433482	171965.05457482135
1.74e-07	176229.88663919835	172104.20266716037
1.77e-07	162072.7810065926	170857.4691970878
1.8e-07	175153.63311394237	168372.00382273959
1.83e-07	120353.03842394361	164818.46168829096
1.86e-07	156852.4503887021	160379.5324622211
1.89e-07	172368.17601674923	155239.46673495916
1.92e-07	147722.8261519758	149575.26351588313
1.9499999999999999e-07	147940.82011897437	143549.9093136694
1.98e-07	128083.020859786	137307.7935181356
2.0099999999999999e-07	161038.56604628084	130972.19819640074
2.04e-07	127141.03121354834	124644.5928495653
2.07e-07	102171.10304855577	118405.36362406627
2.1e-07	131249.4345222268	112315.56861399145
2.13e-07	101212.32917790886	106419.32514801086
2.16e-07	84444.53125242189	100746.48607370465
2.19e-07	87185.26025997159	95315.33395776496
2.22e-07	80594.61852505215	90135.10050335876
2.25e-07	78876.08755839712	85208.19237925463
2.28e-07	71831.65951345893	80532.06701733553
2.31e-07	81460.94889504049	76100.7494333738
2.34e-07	88540.04892122356	71906.01340968386
2.37e-07	79068.93225225541	67938.26912824556
2.4e-07	69144.57895296045	64187.2073329628
2.43e-07	60953.58783050785	60642.250422917794
2.46e-07	61164.9613648639	57292.856406438535
2.49e-07	48118.12700923042	54128.714724131496
2.52e-07	47674.44046572978	51139.865288263085
2.55e-07	45327.376388601224	48316.764789044166
2.58e-07	37904.99839802254	45650.31798600886
2.61e-07	51845.63030863516	43131.88656654984
2.64e-07	39405.86148053162	40753.284206231234
2.67e-07	46889.43264480429	38506.76356665376
2.7e-07	45518.51274080693	36384.99892147573
2.73e-07	36602.03429209729	34381.06670977347
2.76e-07	37685.18286990193	32488.425400660853
2.79e-07	26841.094611485045	30700.89546993346
2.82e-07	30504.608721391636	29012.63992923358
2.85e-07	27111.85728296603	27418.145632356533
2.88e-07	27457.775639712352	25912.20545796856
2.91e-07	26135.99635300926	24489.90139766592
2.94e-07	22548.64443712425	23146.588540409313
2.9699999999999997e-07	23547.97145039406	21877.879925050558
3e-07	13910.235396532655	20679.632223680346
3.03e-07	19572.587788547695	19547.932215100507
3.06e-07	18806.37503344912	18479.084007191323
3.09e-07	13141.43790232636	17469.59696784558
3.12e-07	13577.256973966028	16516.174325707434
3.15e-07	13175.615921378852	15615.702403785805
